Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),BACK_SPACE:Zone Lights Total Heating Rate [W](Hourly),CORE_RETAIL:Zone Lights Total Heating Rate [W](Hourly),POINT_OF_SALE:Zone Lights Total Heating Rate [W](Hourly),FRONT_RETAIL:Zone Lights Total Heating Rate [W](Hourly),FRONT_ENTRY:Zone Lights Total Heating Rate [W](Hourly),BACK_SPACE:Zone Mean Air Temperature [C](Hourly),CORE_RETAIL:Zone Mean Air Temperature [C](Hourly),POINT_OF_SALE:Zone Mean Air Temperature [C](Hourly),FRONT_RETAIL:Zone Mean Air Temperature [C](Hourly),FRONT_ENTRY:Zone Mean Air Temperature [C](Hourly),BACK_SPACE:Zone Infiltration Sensible Heat Gain Energy [J](Hourly),CORE_RETAIL:Zone Infiltration Sensible Heat Gain Energy [J](Hourly),POINT_OF_SALE:Zone Infiltration Sensible Heat Gain Energy [J](Hourly),FRONT_RETAIL:Zone Infiltration Sensible Heat Gain Energy [J](Hourly),FRONT_ENTRY:Zone Infiltration Sensible Heat Gain Energy [J](Hourly),BACK_SPACE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),BACK_SPACE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),CORE_RETAIL:Zone Thermostat Heating Setpoint Temperature [C](Hourly),CORE_RETAIL:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),POINT_OF_SALE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),POINT_OF_SALE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),FRONT_RETAIL:Zone Thermostat Heating Setpoint Temperature [C](Hourly),FRONT_RETAIL:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),FRONT_ENTRY:Zone Thermostat Heating Setpoint Temperature [C](Hourly),FRONT_ENTRY:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),DISTRICT HEATING UTILITY:District Heating Water Rate [W](Hourly),DISTRICT HEATING UTILITY:District Heating Water Mass Flow Rate [kg/s](Hourly),BACK_SPACE:Zone Thermal Comfort Fanger Model PPD [%](Hourly),CORE_RETAIL:Zone Thermal Comfort Fanger Model PPD [%](Hourly),POINT_OF_SALE:Zone Thermal Comfort Fanger Model PPD [%](Hourly),FRONT_RETAIL:Zone Thermal Comfort Fanger Model PPD [%](Hourly),FRONT_ENTRY:Zone Thermal Comfort Fanger Model PPD [%](Hourly),CORE_RETAIL_ERV_HX:Heat Exchanger Sensible Heating Rate [W](Hourly),CORE_RETAIL BASEBOARD HEATER:Baseboard Total Heating Rate [W](Hourly),HW CIRCULATING PUMP:Pump Electricity Rate [W](Hourly),HW SUPPLY INLET NODE:System Node Temperature [C](Hourly),HW SUPPLY INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),HW SUPPLY OUTLET NODE:System Node Temperature [C](Hourly),HW SUPPLY OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly) 
 02/18  12:00:00,1.258333333333333,0.7825817235537786,1371.7189684800003,11714.6577633708,1103.84655612,1103.84655612,52.700064,22.000330014633665,21.999938908092428,22.000018694277657,21.99995587953909,21.99838865180138,0.0,0.0,0.0,0.0,0.0,22.0,23.89,22.0,23.89,22.0,23.89,22.0,23.89,22.0,40.0,57640.11927318703,0.894745966780584,12.334946990125724,9.740755497422557,6.917546731325153,7.4132919616983655,6.60264371754796,31593.859019496624,37538.22514918446,229.1629914682162,22.805296516173453,0.894745966780584,38.210208333333334,0.894745966780584,93791252.68285237,7076571.42857143,55248371.66912688 
 02/18  13:00:00,2.5,1.2438821894653123,2057.5784527200008,17571.986645056197,1655.7698341800003,1655.7698341800003,79.050096,22.000135619825887,21.999958560978683,22.035022203723,22.000023567946794,22.006091072100357,0.0,0.0,0.0,0.0,0.0,22.0,23.89,22.0,23.89,22.0,23.89,22.0,23.89,22.0,40.0,64824.405582134255,1.247721815256951,11.608046542061558,8.902096987088603,6.149796203603692,6.618933538482729,6.207962486022197,29708.447763481396,27848.892574219466,319.6979111925239,24.50168833470941,1.247721815256951,36.9375,1.247721815256951,131155474.1993362,7076571.42857143,82872557.5036903 
 02/18  14:00:00,3.35,1.4106248462793178,2057.5784527200008,17571.986645056197,1655.7698341800003,1655.7698341800003,79.050096,21.99997374399901,21.999887299247263,22.402749190940003,22.000025581020235,21.998234479653153,0.0,0.0,0.0,0.0,0.0,22.0,23.89,22.0,23.89,22.0,23.89,22.0,23.89,22.0,40.0,58377.28056819212,1.2565694090492456,11.158892148424158,8.44502036306955,5.393090199948763,6.114214423551528,5.9551021394641905,28403.5164986962,24403.98946628679,321.9997623661999,24.950299529460946,1.2565694090492456,36.066250000000004,1.2565694090492456,131110729.22385833,7076571.42857143,82872557.5036903 
 02/18  15:00:00,3.891666666666667,1.848134882040557,2057.5784527200008,17571.986645056197,1655.7698341800003,1655.7698341800003,79.050096,21.99973819235352,22.000039474438932,22.877704664857834,22.000001683764285,22.00157491926888,0.0,0.0,0.0,0.0,0.0,22.0,23.89,22.0,23.89,22.0,23.89,22.0,23.89,22.0,40.0,54554.02354917222,1.263611347586121,10.863262115675113,8.149073239651544,5.014225211686639,5.810324988010841,5.640435356128006,27583.17811547856,22292.76054403374,323.82408964583345,25.175548728376686,1.263611347586121,35.51104166666667,1.263611347586121,130861529.7406074,7076571.42857143,82872557.5036903 
 02/18  16:00:00,3.9250000000000003,1.9602402427151786,2057.5784527200008,17571.986645056197,1655.7698341800003,1655.7698341800003,79.050096,21.99969096438114,22.000112566597096,22.726033451942982,21.99995046239128,22.00444265319602,0.0,0.0,0.0,0.0,0.0,22.0,23.89,22.0,23.89,22.0,23.89,22.0,23.89,22.0,40.0,55115.32834230872,1.3492910998823753,10.744964236016214,8.02765607280042,5.1443244667287,6.169151626454943,5.970024385506167,27535.9965807947,22053.872385689338,345.83226207251323,25.70181652578147,1.3492910998823753,35.47687500000001,1.3492910998823753,131039737.65240712,7076571.42857143,82872557.5036903 
 02/18  17:00:00,3.158333333333333,1.8575654381307352,2057.5784527200008,17571.986645056197,1655.7698341800003,1655.7698341800003,79.050096,22.000190063773307,21.9999742547773,22.03954989650512,22.00020268636267,22.00448321490725,0.0,0.0,0.0,0.0,0.0,22.0,23.89,22.0,23.89,22.0,23.89,22.0,23.89,22.0,40.0,62900.79306073699,1.4860476989514846,10.80271752492512,8.076913880671547,6.626253620799754,7.475203026602263,7.280155963024271,28716.492387056733,24517.58994617015,380.9305563500398,26.14031915801409,1.4860476989514846,36.262708333333336,1.4860476989514846,141140202.72876218,7076571.42857143,82872557.5036903 
 02/18  18:00:00,2.0,1.135009209625472,1371.7189684800003,11714.6577633708,1103.84655612,1103.84655612,52.700064,21.999854739109683,22.000077853341647,22.00002681147407,22.00008070765674,21.995405203211863,0.0,0.0,0.0,0.0,0.0,22.0,23.89,22.0,23.89,22.0,23.89,22.0,23.89,22.0,40.0,78718.29923866343,1.5729308137651776,10.961532543409255,8.381805268815263,7.794157034801171,8.662758405650294,8.816611040843185,30479.25355558732,33081.6825869922,403.1260244298705,25.466310294748684,1.5729308137651776,37.449999999999996,1.5729308137651776,123693871.23984723,7076571.42857143,55248371.66912688 
 02/18  19:00:00,1.2083333333333333,0.37357992765870485,685.8594842400001,5857.3288816854,551.92327806,551.92327806,26.350032,22.00025259891974,22.00005146567843,22.000356437949975,21.999444587694367,21.99975704282909,0.0,0.0,0.0,0.0,0.0,22.0,23.89,22.0,23.89,22.0,23.89,22.0,23.89,22.0,40.0,66934.84943547232,1.0488155026784491,11.180986215312181,8.779352901400676,8.743399882521656,9.568748466582008,9.937216140828903,31673.68654164593,38992.44315893322,268.6354839274795,22.995867542107902,1.0488155026784491,38.26145833333333,1.0488155026784491,85630583.2687394,7076571.42857143,27624185.83456344 
 02/18  20:00:00,1.0,0.17313676793669508,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,19.500495997411246,20.612843103939287,19.937466335115374,19.54738710151574,15.730095343449525,0.0,0.0,0.0,0.0,0.0,15.560000000000002,23.89,15.560000000000002,29.44,15.560000000000002,23.89,15.560000000000002,23.89,15.560000000000002,40.0,1074.6136243305746,0.015602311228365431,23.625500623828298,14.053265372545503,17.851766124642516,21.140916441374262,48.73358230282749,0.0,0.0,3.9952983603051044,22.085951317986332,0.015602311228365431,37.43544573700073,0.015602311228365431,42210826.73399177,0.0,6906046.45864086 
 02/18  21:00:00,1.0,0.17313676793669508,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,17.77576325496534,19.398983574948335,18.579340897721295,18.016430684809492,16.96915416048465,0.0,0.0,0.0,0.0,0.0,15.560000000000002,23.89,15.560000000000002,29.44,15.560000000000002,23.89,15.560000000000002,23.89,15.560000000000002,40.0,0.0,0.0,36.8057355647804,20.505063635959473,27.42129746347308,32.84819485416994,44.67908363049946,0.0,0.0,0.0,21.18404079651611,0.0,21.18404079651611,0.0,42259016.731268294,0.0,6906046.45864086 
