DateTime,T_air_avg,Q_heating_total,T_supply_avg,T_return_avg,mdot_water_total,T_outdoor,Q_internal_no_solar,I_solar_total,Q_people_total,Q_lights_total,Q_equipment_total,Q_solar_total,dT_outdoor,dT_supply,dT_air_dt,hour,day_of_week
2024-01-01 04:10:00,20.708261391016617,0.0,32.324928319936866,32.324928319936866,0.0,6.833333333333334,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,13.874928057683283,11.61666692892025,-1.016385944512919,4,0
2024-01-01 04:20:00,20.583972843014685,0.0,32.324928319936866,32.324928319936866,0.0,6.666666666666667,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,13.917306176348017,11.740955476922181,-0.7457312880115907,4,0
2024-01-01 04:30:00,20.489402721987638,0.0,32.324928319936866,32.324928319936866,0.0,6.5,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,13.989402721987638,11.835525597949228,-0.5674207261622826,4,0
2024-01-01 04:40:00,20.41121210322174,0.0,32.324928319936866,32.324928319936866,0.0,6.333333333333334,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,14.077878769888406,11.913716216715127,-0.4691437125953897,4,0
2024-01-01 04:50:00,20.34175398977683,0.0,32.324928319936866,32.324928319936866,0.0,6.166666666666666,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,14.175087323110164,11.983174330160036,-0.4167486806694569,4,0
2024-01-01 05:00:00,20.277681173005522,0.0,32.324928319936866,32.324928319936866,0.0,6.0,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,14.277681173005522,12.047247146931344,-0.38443690062784697,5,0
2024-01-01 05:10:00,20.22050539175675,0.0,32.324928319936866,32.324928319936866,0.0,6.0,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,14.220505391756749,12.104422928180117,-0.34305468749263923,5,0
2024-01-01 05:20:00,20.170135235309807,0.0,32.324928319936866,32.324928319936866,0.0,6.0,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,14.170135235309807,12.154793084627059,-0.3022209386816499,5,0
2024-01-01 05:30:00,20.125047030152317,0.0,32.324928319936866,32.324928319936866,0.0,6.0,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,14.125047030152317,12.19988128978455,-0.27052923094494474,5,0
2024-01-01 05:40:00,20.083645994371132,0.0,32.324928319936866,32.324928319936866,0.0,6.0,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,14.083645994371132,12.241282325565734,-0.24840621468710822,5,0
2024-01-01 05:50:00,20.044893196728168,0.0,32.324928319936866,32.324928319936866,0.0,6.0,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,14.044893196728168,12.280035123208698,-0.2325167858577828,5,0
2024-01-01 06:00:00,20.008243541046888,0.0,32.324928319936866,32.324928319936866,0.0,6.0,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,14.008243541046888,12.316684778889979,-0.2198979340876832,6,0
2024-01-01 06:10:00,19.9710202953008,4.557341328881551,32.325039795383546,18.061480025389407,7.64376539074e-05,5.833333333333333,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,14.137686961967468,12.354019500082746,-0.2233394744765249,6,0
2024-01-01 06:20:00,19.932747782163556,33.43482333228871,32.3260813183592,17.999784116629172,0.00055832721115,5.666666666666666,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,14.26608111549689,12.393333536195644,-0.22963507882346335,6,0
2024-01-01 06:30:00,19.8972939901018,298.70320653818277,32.336330025708925,18.005169391757644,0.0049863440291531,5.5,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,14.3972939901018,12.439036035607124,-0.2127227523705315,6,0
2024-01-01 06:40:00,19.862156179050544,310.7900797452253,32.356209464491364,17.999950624597183,0.0051790438266784,5.333333333333333,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,14.528822845717212,12.49405328544082,-0.2108268663075421,6,0
2024-01-01 06:50:00,19.827251060210436,432.0682559216324,32.38279996536886,17.99999827468025,0.007186750793583,5.166666666666667,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,14.660584393543768,12.555548905158425,-0.2094307130406463,6,0
2024-01-01 07:00:00,19.792619785216743,531.4433567123397,32.41984359562571,18.000026898226913,0.0088170024411631,5.0,3689.935654106057,0.0,0.0,1918.3462385113498,1771.5894155947074,0.0,14.792619785216743,12.627223810408964,-0.2077876499621567,7,0
